Brand,Item_Count,Calories_avg,Fat_g_avg,Carbs_g_avg,Fiber_g_avg,Protein_g_avg,Sodium_mg_avg,Sugar_g_avg
McDonald's,260,368.3,14.2,47.3,1.6,13.3,495.8,29.4
Starbucks,532,222.9,6.2,85.4,1.2,7.5,20.6,33.0
